storage_type,uid,basin,formation_id,state,lon,lat
SALINE,240,,Repetto Sst2a,CA,-118.142696,33.888938
SALINE,241,,Repetto Sst2b,CA,-118.142696,33.888938
SALINE,242,,Repetto Sst2c,CA,-118.142696,33.888938
SALINE,243,,Repetto Sst3a,CA,-118.142696,33.888938
SALINE,244,,Repetto Sst3b,CA,-118.142696,33.888938
SALINE,245,,Repetto Sst3c,CA,-118.142696,33.888938
SALINE,246,,Repetto Sst3d,CA,-118.142696,33.888938
SALINE,247,,Rome Trough Sst1,KY,-83.541567,37.313802
SALINE,248,,Rome Trough Sst2,WV,-81.794997,38.546028
SALINE,249,,Rose Run1,KY,-83.460799,37.418126
SALINE,250,,Rose Run2,OH,-81.731723,40.036197
SALINE,251,,Rose Run3,PA,-78.868883,40.92619
SALINE,252,,Rose Run4,PA,-79.692934,41.461703
SALINE,253,,Rose Run5,WV,-81.534913,38.750221
SALINE,254,,Rose Run6,NY,-77.366171,42.673771
SALINE,255,,San Andres1,TX,-102.452467,31.794064
SALINE,256,,San Andres2,NM,-103.618913,32.964927
SALINE,257,,Seven Rivers1,TX,-102.452467,31.794064
SALINE,258,,Seven Rivers2,NM,-103.618913,32.964927
SALINE,259,,Simpson01,KS,-99.878463,37.599931
SALINE,260,,Simpson02,OK,-99.012367,36.120517
SALINE,261,,Simpson03,TX,-100.978564,35.990167
SALINE,262,,Simpson04,CO,-102.380417,37.084567
SALINE,263,,St.Peter1,IL,-88.808935,38.884721
SALINE,264,,St.Peter2,IL,-88.498717,38.153149
SALINE,265,,St.Peter3,IN,-87.114343,38.699345
SALINE,266,,St.Peter4,IN,-87.638568,38.085161
SALINE,267,,St.Peter5,KY,-87.295219,37.482424
SALINE,268,,St.Peter6,KY,-87.624044,37.541511
SALINE,269,,St.Peter7,MI,-84.296037,45.372119
SALINE,270,,St.Peter8,MI,-85.062088,42.443894
SALINE,271,,St.Peter9,MI,-84.44558,43.707425
SALINE,272,,St.Peter10,MI,-84.423265,44.035145
SALINE,273,,Starkey1,CA,-121.358152,38.071841
SALINE,274,,Stevens1,CA,-119.319149,35.410859
SALINE,275,,Strawn1,TX,-102.452467,31.794064
SALINE,276,,Strawn2,NM,-103.618913,32.964927
SALINE,277,,Sundance1,MT,-106.078871,45.431621
SALINE,278,,Sundance2,WY,-105.60585,43.864477
SALINE,279,,Sunniland1,FL,-81.137761,26.15994
SALINE,280,,Sylvania1,MI,-84.696178,43.913044
SALINE,281,,Temblor1a,CA,-119.319142,35.410859
SALINE,282,,Temblor1b,CA,-119.319142,35.410859
